0,スピードアップ
1,トレジャーレーダー
2,ネコボン
3,ニャンピュータ
4,おかめはちもく
5,スニャイパー
201,XP
217,NP
-1,ダミー
-1,ダミー
-1,XP 5000
-1,XP 10000
-1,XP 30000
-1,XP 50000
-1,XP 100000
-1,XP 200000
-1,XP 500000
-1,XP 1000000
-1,XP 2000000
-1,XP 500000
202,にゃんこチケット
203,レアチケット
200,ネコカン
400,福引チケット
401,MH大狩猟チケット
402,まもるよチケット
403,福引チケット
404,福引チケット
405,福引チケット
204,プラチナチケット
500,紫マタタビの種
501,赤マタタビの種
502,青マタタビの種
503,緑マタタビの種
504,黄マタタビの種
505,紫マタタビ
506,赤マタタビ
507,青マタタビ
508,緑マタタビ
509,黄マタタビ
510,虹マタタビ
511,古代マタタビの種
512,古代マタタビ
513,虹マタタビの種
514,金マタタビ
406,福引チケット
407,福引チケット
408,福引チケット
409,福引チケット
410,福引チケット
600,キャッツアイ【EX】
601,キャッツアイ【レア】
602,キャッツアイ【激レア】
603,キャッツアイ【超激レア】
604,キャッツアイ【伝説】
700,ネコビタンA
701,ネコビタンB
702,ネコビタンC
605,キャッツアイ【闇】
-1,ダミー
-1,にゃんこ砲攻撃力
-1,にゃんこ砲射程
-1,にゃんこ砲チャージ
-1,働きネコ仕事効率
-1,働きネコお財布
-1,お城体力
-1,研究力
-1,会計力
-1,勉強力
-1,統率力
-1,受取BOX用：ダミー1
-1,受取BOX用：ダミー2
-1,受取BOX用：ダミー3
-1,受取BOX用：ダミー4
-1,受取BOX用：ダミー5
411,福引チケット
205,福引チケット
206,福引チケットG
-1,XP 100000
-1,ダミー
6,経験値Ａ
7,経験値Ｂ
8,経験値Ｃ
9,経験値Ｄ
10,経験値Ｅ
610,レンガ
611,羽根
612,備長炭
613,鋼の歯車
614,黄金
615,宇宙石
616,謎の骨
-1,助手
207,福引チケット
208,福引チケットG
209,福引チケットG
210,福引チケットG
211,福引チケットG
212,福引チケットG
213,福引チケット
214,福引チケットG
215,福引チケット
216,福引チケットG
218,福引チケットG
219,福引チケット
220,リーダーシップ
221,福引チケットG
222,福引チケット
223,福引チケットG
224,福引チケットG
225,福引チケット
412,ビックリマンチョコ
226,福引チケット
227,福引チケットG
228,福引チケットG
229,福引チケットG
230,福引チケット
231,福引チケット
232,福引チケットG
233,福引チケットG
234,福引チケットG
235,福引チケットG
236,福引チケット
-1,リスタートパック
237,福引チケットG
238,福引チケットG
239,福引チケット
240,福引チケット
241,福引チケットG
242,福引チケットG
243,福引チケットG
244,福引チケットG
245,福引チケット
246,福引チケットG
247,福引チケット
248,福引チケットG
249,福引チケット
413,ビックリマンチョコ
250,福引チケットG
251,福引チケット
617,アンモナイト
252,福引チケットG
253,福引チケットG
254,福引チケット
255,福引チケットG
256,レジェンドチケット
257,福引チケットG
258,福引チケット
259,福引チケット
260,福引チケットG
261,福引チケットG
-1,ネコボン3時間使い放題
-1,ニャンピュータ3時間使い放題
-1,スニャイパー3時間使い放題
262,福引チケットG
263,福引チケット
264,福引チケットG
270,プラチナのかけら
414,伝説の虫取り網
-1,XP 5000
515,悪マタタビの種
516,悪マタタビ
415,伝説のにんじん
416,はてなボックス
517,金マタタビの種
417,伝説の縁起物
418,伝説のラブレター
518,紫獣石
519,紅獣石
520,蒼獣石
521,翠獣石
522,黄獣石
419,伝説の聖水
420,伝説の虫取り網
710,ブロンズ勲章
711,シルバー勲章
712,ゴールド勲章
713,プラチナ勲章
421,伝説のフリーパス
523,紫獣結晶
524,紅獣結晶
525,蒼獣結晶
526,翠獣結晶
527,黄獣結晶
528,虹獣石
422,伝説の縁起物
423,伝説のラブレター
618,レンガZ
619,羽根Z
620,備長炭Z
621,鋼の歯車Z
622,黄金Z
623,宇宙石Z
624,謎の骨Z
625,アンモナイトZ
424,伝説の聖水
425,伝説の虫取り網
-1,XP 1000000
426,伝説のちいさいメダル
427,伝説の縁起物
428,伝説のラブレター
11,経験値
429,伝説の聖水
430,伝説の虫取り網
431,伝説の罠
432,ビックリマンチョコ
433,伝説の魂
720,軍資金
434,伝説の縁起物
435,ふしぎな宝箱【銅】
436,ふしぎな宝箱【銀】
437,ふしぎな宝箱【金】
265,1億DL記念チケット
438,伝説のラブレター
439,伝説の買い物かご
440,伝説のダンベル
441,伝説の罠
442,ふしぎな宝箱【銅】
443,ふしぎな宝箱【銀】
444,ふしぎな宝箱【金】
445,伝説の札束
446,伝説のきらめき
-1,XP2000
-1,XP25000
447,ふしぎな宝箱【銅】
448,ふしぎな宝箱【銀】
449,ふしぎな宝箱【金】
450,伝説の魂
451,ふしぎな宝箱【銅】
452,ふしぎな宝箱【銀】
453,ふしぎな宝箱【金】
454,伝説の正義の心
455,ふしぎな宝箱【銅】
456,ふしぎな宝箱【銀】
457,ふしぎな宝箱【金】
458,伝説の縁起物
459,ふしぎな宝箱【銅】
460,ふしぎな宝箱【銀】
461,ふしぎな宝箱【金】
462,ふしぎな宝箱【銅】
463,ふしぎな宝箱【銀】
464,ふしぎな宝箱【金】
